id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
A2t6pNTbSA7A2tDWbhId7t,2024-05-01T07:25:29Z,@metamorphicme9378,I know right!,Reply,http://www.youtube.com/@metamorphicme9378,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-01T07:25:29Z,UgxDPyHmlsc3gmOOpD14AaABAg,@BMboss108,,0
A2t6pNTbSA7A2v19ZHC33A,2024-05-02T00:15:58Z,@M_O_P.Limited,"Where in Africa, please?",Reply,http://www.youtube.com/@M_O_P.Limited,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-02T00:15:58Z,UgxDPyHmlsc3gmOOpD14AaABAg,@BMboss108,,0
A2t6pNTbSA7A2wLdtUlESy,2024-05-02T12:34:15Z,@BMboss108,@@M_O_P.Limited i live at the coast of Kenya...am not rich but am far better off than they are..so sad..welcome :-)..people who havent travelled always think everyone in Africa is poor and miserable..we have our share of problems maybe even worse than some other place but its not everyone who has it rough over here.....,Reply,http://www.youtube.com/@BMboss108,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-02T12:36:39Z,UgxDPyHmlsc3gmOOpD14AaABAg,@BMboss108,@M_O_P.Limited,5
A2t6pNTbSA7A2wN5g0NGq4,2024-05-02T12:46:55Z,@M_O_P.Limited,"@@BMboss108 
Thank you for replying. God bless you.",Reply,http://www.youtube.com/@M_O_P.Limited,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-02T12:46:55Z,UgxDPyHmlsc3gmOOpD14AaABAg,@BMboss108,@BMboss108,1
A2t6pNTbSA7A3kbBsrb9z4,2024-05-22T19:39:21Z,@jerkozlatar4334,"@@BMboss108 Yes, but judging from your vocabulary, you come across as an educated person and, I presume you are qualified, employed, don't squander your money on needless tattoos or piercings, and you're not a drug addict. Why would you welcome them?",Reply,http://www.youtube.com/@jerkozlatar4334,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-22T19:39:21Z,UgxDPyHmlsc3gmOOpD14AaABAg,@BMboss108,@BMboss108,0
Ugyc7H3Yy4iEXg04q154AaABAg,2024-05-01T06:03:05Z,@TheNationalist-w9v,What exactly is homelessness? Can't he get a square foot and construct a hut?,Thread,http://www.youtube.com/@TheNationalist-w9v,UCwbWnktJivUSuyTMrx-YpQQ,2024-05-01T06:03:05Z,,,,0
UgwmM9hRz397qLH_YWl4AaABAg,2024-05-01T05:59:56Z,@TheNationalist-w9v,Poor with health insurance? Let him come try real poverty in Africa,Thread,http://www.youtube.com/@TheNationalist-w9v,UCwbWnktJivUSuyTMrx-YpQQ,2024-05-01T05:59:56Z,,,,5
Ugzs_YvwWgz2UsNj_4p4AaABAg,2024-05-01T05:52:35Z,@AA-kj4ic,Sounds like it should be Hungry's problem rather than a Luxembourg problem.,Thread,http://www.youtube.com/@AA-kj4ic,UCEI_UxTvub5QE1KJu2g2Wxw,2024-05-01T05:52:35Z,,,,0
UgyK0wMb4bhDP3Sr4G94AaABAg,2024-05-01T05:49:11Z,@hemmisis,It is imported homelessness. Is Luxembourg supposed to offer apartments to people who welfare migrants from other countries?,Thread,http://www.youtube.com/@hemmisis,UCSZaF-qJpbSkIfykb6xgDng,2024-05-01T05:49:11Z,,,,4
UgzVL6nLWSaGolz3PHh4AaABAg,2024-05-01T05:49:07Z,@mapachehombre1581,Everyone in fifteen residents is a millionaire ? I'd be blushed to be the one,Thread,http://www.youtube.com/@mapachehombre1581,UCssidrTwdpT13CACT11axyw,2024-05-01T05:49:07Z,,,,4
UgwatEXkgwpwQfpotdl4AaABAg,2024-05-01T05:49:02Z,@ricodinero4926,why the gov. or some one have to house you and feed you!,Thread,http://www.youtube.com/@ricodinero4926,UCaDUjVP_xkxPQvIi97LVUQw,2024-05-01T05:49:02Z,,,,0
UgyjHzc2m-MZ4iNoJC14AaABAg,2024-05-01T05:45:33Z,@emmeayoub,Truly humbling and inspiring,Thread,http://www.youtube.com/@emmeayoub,UCBiDDiYbsSja-JiYoD279fw,2024-05-01T05:45:33Z,,,,13
UgynHPGs6ieI36UJE6R4AaABAg,2024-05-01T05:26:13Z,@Vision-eg2hl,Even in Entenhausen there's poor people. Some are just lazy!,Thread,http://www.youtube.com/@Vision-eg2hl,UCxPAfRzg8XQVe4lDrtUY7yQ,2024-05-01T05:26:13Z,,,,1
Ugx0GEfEyaJJLI6EVoB4AaABAg,2024-05-01T05:07:48Z,@gajaholeng440,extremely disaster in europe due to war long war ukraine europe recession inflation and high alert of right wings populist white supremacy christianity and very radicals european policy makers,Thread,http://www.youtube.com/@gajaholeng440,UC-mvaV0lVtcKoOrbj7yO_MA,2024-05-01T05:07:48Z,,,,0
UgwH52618heCgTmnsnd4AaABAg,2024-05-01T05:06:28Z,@susanarsoniadou,There is a lot of blaming the government...If I relied on the government I would be in trouble...,Thread,http://www.youtube.com/@susanarsoniadou,UC4AYUYk3D4NEQxAI5R_LHUA,2024-05-01T05:06:28Z,,,,4
UgxtxiiNgorGY_bz2TJ4AaABAg,2024-05-01T04:46:14Z,@byunglee6038,All these homelss people always blame the government.  Maybe they should blame themselves for making poor choices and be more humble.  Blaming others will never help except be a bitter person.,Thread,http://www.youtube.com/@byunglee6038,UC2gzr-gTeFIpqnUUXr3IkQw,2024-05-01T04:46:14Z,,,,9
